Temperature,autolysis,native,small_aggregates,large_aggregates
20,20.3,25.0,29.7,0.0
22,14.6,0.0,60.3,0.0
24,0.0,0.0,99.9,0.0
26,0.0,0.0,99.9,0.0
28,25.9,0.0,34.0,0.0
30,0.0,0.0,99.9,0.0
32,0.0,0.0,56.8,18.1
34,30.9,0.0,29.1,0.0
36,17.9,0.0,56.9,0.0
38,0.0,0.0,99.8,0.0
40,0.0,0.0,99.9,0.0
42,0.0,0.0,35.6,15.9
44,0.0,66.6,33.3,0.0
46,0.0,33.3,66.6,0.0
48,20.6,0.0,54.3,0.0
50,0.0,49.9,49.9,0.0
52,0.0,33.3,66.5,0.0
54,20.2,49.9,4.8,0.0
56,33.3,0.0,66.6,0.0
58,0.0,0.0,99.8,0.0
60,0.0,33.3,66.6,0.0
62,0.0,0.0,99.9,0.0
64,0.0,0.0,99.8,0.0
66,0.0,0.0,99.9,0.0
68,0.0,0.0,99.8,0.0
70,26.7,13.6,9.7,0.0
72,20.2,0.0,54.7,0.0
74,16.4,16.0,27.5,0.0
76,0.0,0.0,99.6,0.0
78,0.0,33.3,66.6,0.0
80,0.0,0.0,99.7,0.0
82,21.4,25.0,28.6,0.0
84,30.1,0.0,32.5,0.0
86,16.5,0.0,58.3,0.0
88,0.0,19.8,55.0,0.0
90,16.4,34.4,9.2,0.0
